Id,Nom_Variete,Code_Variete,Espece,Type_Genetique,Caractere_Genetique,Origine,Date_Creation,Statut_Commercialisation,Produit_Lab,Resultats_Etudes,Date_Mise_A_Jour,Taille_Plant,Couleur_Epi,Date_Maturation,Taux_Proteine,Rendement_Par_Hectare,Resilience_Sol,Resistance_Temperature,Temps_Pousse,Type_Environnement,Age_Variete,Nombre_Epi,Longueur_Epi,Densite_Plante,Type_Engrais,Plante_Compagnon,Densite_Meteo,Resistance_Maladies,Taux_Humidite,Impact_Chimique,Technologie_Utilisee,Zone_Predominante,Description_Produit,Type_Utilisation,Performance_Climatique,Type_Culture,Qualite_Semence,Durabilite,Strategie_Amelioration,Taux_Produit_OGM
29,Seigle-4480,SE963,Seigle,Population,Tolérance sécheresse,Allemagne,1606521600000,Commercialisé,Limagrain,"
        Essai 29 :
        - Rendement moyen: 64.4 q/ha
        - Taux de germination: 95.9%
        - Résistance maladie: Bonne
        - Test en conditions réelles: Positif
        ",1732294828571,1.48,Brun,1594425600000,15.09,113.93,3.18,27.77,162,Plein champ,4,4,12.8,204,NPK,Pois,0.9400000000000001,Élevée,12.04,Faible,Hybridation classique,Est,Variété de Seigle adaptée pour climat océanique,Alimentation humaine,Excellente,Conservation,Elite,5 ans,Sélection récurrente,1%
30,Blé dur-8139,BL724,Blé dur,Population,Résistance maladies++,Espagne,1593907200000,En attente d'homologation,RAGT,"
        Essai 30 :
        - Rendement moyen: 86.3 q/ha
        - Taux de germination: 88.4%
        - Résistance maladie: Excellente
        - Test en conditions réelles: En cours
        ",1732294828571,1.03,Jaune paille,1593734400000,13.94,90.92,4.91,21.0,178,Serre,4,3,10.8,238,Urée,Vesce,1.11,Moyenne,13.71,Élevé,Culture in vitro,Est,Variété de Blé dur adaptée pour climat méditerranéen,Double usage,Bonne,Biologique,Standard,3 ans,Sélection généalogique,3%
31,Seigle-7130,SE371,Seigle,Synthétique,Qualité protéique,Pays-Bas,1605225600000,En attente d'homologation,Limagrain,"
        Essai 31 :
        - Rendement moyen: 60.2 q/ha
        - Taux de germination: 93.9%
        - Résistance maladie: Moyenne
        - Test en conditions réelles: Positif
        ",1732294828571,0.97,Brun,1594684800000,13.84,76.14,5.42,22.9,153,Plein champ,3,2,11.1,247,NPK,Féverole,0.97,Moyenne,13.03,Faible,Sélection assistée par marqueurs,Est,Variété de Seigle adaptée pour climat continental,Alimentation humaine,Bonne,Raisonné,Certifiée,2 ans,Rétrocroisement,4%
33,Blé dur-2836,BL223,Blé dur,Hybride F1,Tolérance sécheresse,Allemagne,1595894400000,Commercialisé,RAGT,"
        Essai 33 :
        - Rendement moyen: 71.6 q/ha
        - Taux de germination: 89.4%
        - Résistance maladie: Excellente
        - Test en conditions réelles: Positif
        ",1732294828571,0.9500000000000001,Doré,1592784000000,10.33,106.81,5.18,29.54,141,Semi-protégé,1,6,14.0,246,NPK,Féverole,1.01,Élevée,13.35,Élevé,Hybridation classique,Ouest,Variété de Blé dur adaptée pour climat méditerranéen,Alimentation humaine,Moyenne,Conservation,Certifiée,3 ans,Rétrocroisement,2%
34,Triticale-9520,TR987,Triticale,Lignée pure,Résistance maladies++,France,1600992000000,En test,INRAE,"
        Essai 34 :
        - Rendement moyen: 80.3 q/ha
        - Taux de germination: 97.4%
        - Résistance maladie: Moyenne
        - Test en conditions réelles: À confirmer
        ",1732294828571,1.78,Blanc,1591660800000,13.25,79.97,3.38,33.44,168,Serre,2,5,13.1,308,Urée,Luzerne,0.86,Élevée,12.75,Faible,Sélection assistée par marqueurs,Centre,Variété de Triticale adaptée pour climat méditerranéen,Alimentation animale,Bonne,Biologique,Premium,4 ans,Sélection récurrente,3%
35,Orge-2755,OR720,Orge,Composite,Tolérance sécheresse,Allemagne,1595030400000,En test,RAGT,"
        Essai 35 :
        - Rendement moyen: 61.8 q/ha
        - Taux de germination: 92.6%
        - Résistance maladie: Moyenne
        - Test en conditions réelles: Positif
        ",1732294828571,0.87,Blanc,1590883200000,15.57,116.53,4.85,23.16,145,Serre,2,2,14.1,338,NPK,Féverole,1.09,Moyenne,13.64,Faible,Sélection assistée par marqueurs,Est,Variété de Orge adaptée pour climat océanique,Alimentation animale,Moyenne,Raisonné,Elite,4 ans,Sélection récurrente,3%
37,Blé tendre-3991,BL772,Blé tendre,Hybride F1,Résistance maladies++,France,1600041600000,En développement,Limagrain,"
        Essai 37 :
        - Rendement moyen: 81.1 q/ha
        - Taux de germination: 85.3%
        - Résistance maladie: Excellente
        - Test en conditions réelles: À confirmer
        ",1732294828571,1.83,Roux,1593388800000,12.59,100.96,3.3,31.79,169,Serre,1,6,10.9,362,Urée,Pois,1.03,Faible,13.88,Modéré,Culture in vitro,Ouest,Variété de Blé tendre adaptée pour climat continental,Alimentation animale,Excellente,Conservation,Elite,5 ans,Rétrocroisement,4%
38,Seigle-8433,SE692,Seigle,Composite,Résistance maladies++,Allemagne,1583020800000,En test,Limagrain,"
        Essai 38 :
        - Rendement moyen: 76.5 q/ha
        - Taux de germination: 93.6%
        - Résistance maladie: Bonne
        - Test en conditions réelles: En cours
        ",1732294828571,1.52,Roux,1593129600000,11.69,79.06,3.4,17.5,150,Serre,5,3,13.3,224,Azote organique,Pois,1.12,Moyenne,12.07,Élevé,Sélection assistée par marqueurs,Centre,Variété de Seigle adaptée pour climat océanique,Alimentation animale,Moyenne,Conventionnel,Standard,2 ans,Sélection récurrente,0%
40,Orge-8289,OR985,Orge,Composite,Qualité protéique,Allemagne,1581033600000,En développement,INRAE,"
        Essai 40 :
        - Rendement moyen: 79.0 q/ha
        - Taux de germination: 89.8%
        - Résistance maladie: Moyenne
        - Test en conditions réelles: En cours
        ",1732294828571,1.6099999999999999,Jaune paille,1593388800000,13.82,114.0,4.7,23.76,173,Plein champ,1,3,10.7,278,Azote organique,Luzerne,0.98,Moyenne,13.94,Élevé,Sélection assistée par marqueurs,Sud,Variété de Orge adaptée pour climat continental,Double usage,Bonne,Raisonné,Certifiée,3 ans,Sélection récurrente,3%
41,Seigle-3170,SE958,Seigle,Lignée pure,Adaptation climat,Pays-Bas,1598400000000,En test,Syngenta,"
        Essai 41 :
        - Rendement moyen: 67.6 q/ha
        - Taux de germination: 91.4%
        - Résistance maladie: Excellente
        - Test en conditions réelles: Positif
        ",1732294828571,1.07,Blanc,1591574400000,14.59,115.65,4.28,32.17,150,Semi-protégé,5,5,9.0,310,NPK,Féverole,1.18,Moyenne,13.73,Élevé,Culture in vitro,Est,Variété de Seigle adaptée pour climat océanique,Double usage,Bonne,Biologique,Elite,2 ans,Sélection récurrente,4%
42,Orge-4739,OR815,Orge,Synthétique,Adaptation climat,Pays-Bas,1583107200000,En attente d'homologation,RAGT,"
        Essai 42 :
        - Rendement moyen: 62.2 q/ha
        - Taux de germination: 88.1%
        - Résistance maladie: Bonne
        - Test en conditions réelles: Positif
        ",1732294828571,1.48,Blanc,1591315200000,13.55,110.98,5.5600000000000005,16.82,171,Plein champ,5,3,11.3,320,Ammonitrate,Luzerne,1.05,Élevée,14.06,Faible,Sélection assistée par marqueurs,Sud,Variété de Orge adaptée pour climat méditerranéen,Double usage,Excellente,Conservation,Elite,4 ans,Sélection généalogique,4%
43,Triticale-4992,TR778,Triticale,Hybride F1,Adaptation climat,Belgique,1597881600000,En test,Limagrain,"
        Essai 43 :
        - Rendement moyen: 71.1 q/ha
        - Taux de germination: 85.8%
        - Résistance maladie: Moyenne
        - Test en conditions réelles: À confirmer
        ",1732294828571,1.54,Roux,1592870400000,14.94,90.12,6.98,25.41,147,Semi-protégé,2,6,13.0,265,NPK,Luzerne,1.05,Moyenne,12.94,Modéré,Culture in vitro,Ouest,Variété de Triticale adaptée pour climat méditerranéen,Double usage,Excellente,Raisonné,Elite,3 ans,Rétrocroisement,2%
44,Blé tendre-9872,BL827,Blé tendre,Synthétique,Qualité protéique,France,1600819200000,En test,Florimond Desprez,"
        Essai 44 :
        - Rendement moyen: 84.0 q/ha
        - Taux de germination: 94.2%
        - Résistance maladie: Moyenne
        - Test en conditions réelles: Positif
        ",1732294828571,1.32,Blanc,1590883200000,13.52,86.01,6.53,17.37,148,Semi-protégé,4,2,9.7,314,NPK,Pois,1.15,Moyenne,14.74,Modéré,Culture in vitro,Nord,Variété de Blé tendre adaptée pour climat méditerranéen,Alimentation humaine,Bonne,Conservation,Certifiée,4 ans,Sélection généalogique,3%
45,Orge-4043,OR915,Orge,Hybride F1,Tolérance sécheresse,Pays-Bas,1584316800000,En test,RAGT,"
        Essai 45 :
        - Rendement moyen: 76.8 q/ha
        - Taux de germination: 85.8%
        - Résistance maladie: Moyenne
        - Test en conditions réelles: À confirmer
        ",1732294828571,1.74,Jaune paille,1593475200000,10.0,119.81,3.9,26.49,157,Plein champ,2,4,8.1,297,Ammonitrate,Trèfle,1.18,Faible,13.79,Élevé,Sélection assistée par marqueurs,Ouest,Variété de Orge adaptée pour climat continental,Double usage,Bonne,Conventionnel,Certifiée,2 ans,Sélection récurrente,2%
46,Seigle-2515,SE885,Seigle,Population,Tolérance sécheresse,Pays-Bas,1587686400000,En développement,INRAE,"
        Essai 46 :
        - Rendement moyen: 83.9 q/ha
        - Taux de germination: 91.2%
        - Résistance maladie: Moyenne
        - Test en conditions réelles: Positif
        ",1732294828571,0.8200000000000001,Blanc,1591056000000,11.46,87.73,3.27,24.53,149,Serre,2,2,9.9,309,NPK,Féverole,1.06,Moyenne,12.68,Faible,Sélection assistée par marqueurs,Est,Variété de Seigle adaptée pour climat océanique,Alimentation humaine,Excellente,Conservation,Elite,3 ans,Rétrocroisement,2%
47,Blé dur-9720,BL149,Blé dur,Lignée pure,Haut rendement,Espagne,1587340800000,Commercialisé,INRAE,"
        Essai 47 :
        - Rendement moyen: 81.3 q/ha
        - Taux de germination: 97.5%
        - Résistance maladie: Bonne
        - Test en conditions réelles: En cours
        ",1732294828571,1.82,Blanc,1594512000000,12.95,79.61,6.52,27.09,163,Semi-protégé,3,4,10.0,217,Azote organique,Vesce,0.88,Élevée,13.24,Élevé,Sélection assistée par marqueurs,Nord,Variété de Blé dur adaptée pour climat méditerranéen,Double usage,Excellente,Conservation,Premium,5 ans,Sélection récurrente,4%
48,Triticale-1046,TR728,Triticale,Population,Qualité protéique,Allemagne,1582156800000,Commercialisé,Florimond Desprez,"
        Essai 48 :
        - Rendement moyen: 72.6 q/ha
        - Taux de germination: 87.4%
        - Résistance maladie: Excellente
        - Test en conditions réelles: À confirmer
        ",1732294828571,1.88,Blanc,1593388800000,11.92,102.71,6.41,32.74,160,Semi-protégé,1,5,12.0,296,Ammonitrate,Féverole,0.9,Faible,12.08,Élevé,Culture in vitro,Nord,Variété de Triticale adaptée pour climat continental,Alimentation animale,Excellente,Conventionnel,Standard,2 ans,Sélection généalogique,1%
49,Seigle-6166,SE747,Seigle,Synthétique,Adaptation climat,Allemagne,1590105600000,Commercialisé,INRAE,"
        Essai 49 :
        - Rendement moyen: 77.6 q/ha
        - Taux de germination: 92.5%
        - Résistance maladie: Moyenne
        - Test en conditions réelles: À confirmer
        ",1732294828571,1.55,Brun,1594944000000,14.2,118.47,5.08,32.18,153,Semi-protégé,4,3,9.9,265,Azote organique,Pois,1.09,Élevée,13.98,Élevé,Culture in vitro,Centre,Variété de Seigle adaptée pour climat méditerranéen,Double usage,Excellente,Raisonné,Standard,5 ans,Sélection récurrente,1%
50,Triticale-4094,TR846,Triticale,Hybride F1,Résistance maladies++,Allemagne,1593475200000,Commercialisé,INRAE,"
        Essai 50 :
        - Rendement moyen: 77.5 q/ha
        - Taux de germination: 89.1%
        - Résistance maladie: Excellente
        - Test en conditions réelles: En cours
        ",1732294828571,1.45,Roux,1594684800000,15.75,111.49,3.07,21.29,151,Plein champ,2,6,14.9,265,Azote organique,Pois,0.91,Élevée,13.76,Élevé,Sélection assistée par marqueurs,Sud,Variété de Triticale adaptée pour climat continental,Alimentation humaine,Bonne,Raisonné,Premium,5 ans,Sélection récurrente,4%
52,Avoine-2833,AV804,Avoine,Hybride F1,Résistance maladies++,France,1590278400000,Commercialisé,INRAE,"
        Essai 52 :
        - Rendement moyen: 66.7 q/ha
        - Taux de germination: 89.9%
        - Résistance maladie: Bonne
        - Test en conditions réelles: À confirmer
        ",1732294828571,1.8900000000000001,Roux,1591833600000,13.79,114.99,5.16,24.54,169,Plein champ,4,2,10.7,334,Ammonitrate,Féverole,1.09,Moyenne,13.25,Élevé,Sélection assistée par marqueurs,Centre,Variété de Avoine adaptée pour climat continental,Alimentation animale,Moyenne,Raisonné,Standard,3 ans,Rétrocroisement,5%
53,Avoine-6621,AV612,Avoine,Synthétique,Haut rendement,Allemagne,1588896000000,En attente d'homologation,Florimond Desprez,"
        Essai 53 :
        - Rendement moyen: 82.2 q/ha
        - Taux de germination: 95.6%
        - Résistance maladie: Excellente
        - Test en conditions réelles: En cours
        ",1732294828571,1.57,Blanc,1593129600000,14.67,96.99,3.7,21.73,151,Plein champ,1,3,10.1,345,Urée,Vesce,1.15,Moyenne,13.31,Élevé,Hybridation classique,Centre,Variété de Avoine adaptée pour climat méditerranéen,Alimentation animale,Excellente,Raisonné,Certifiée,3 ans,Rétrocroisement,0%
55,Seigle-6503,SE302,Seigle,Population,Résistance maladies++,Italie,1585267200000,En test,RAGT,"
        Essai 55 :
        - Rendement moyen: 80.8 q/ha
        - Taux de germination: 85.3%
        - Résistance maladie: Excellente
        - Test en conditions réelles: À confirmer
        ",1732294828571,1.25,Doré,1593302400000,11.6,105.59,5.77,23.25,175,Serre,3,4,11.3,284,Fumier composté,Vesce,0.98,Moyenne,13.48,Faible,Hybridation classique,Sud,Variété de Seigle adaptée pour climat méditerranéen,Double usage,Bonne,Conventionnel,Certifiée,2 ans,Sélection récurrente,0%
57,Triticale-1395,TR573,Triticale,Population,Haut rendement,Belgique,1588982400000,En développement,RAGT,"
        Essai 57 :
        - Rendement moyen: 60.1 q/ha
        - Taux de germination: 91.6%
        - Résistance maladie: Bonne
        - Test en conditions réelles: Positif
        ",1732294828571,1.9100000000000001,Blanc,1592352000000,11.24,97.35,6.11,23.23,162,Semi-protégé,4,4,10.5,384,Urée,Pois,1.04,Faible,14.67,Modéré,Sélection assistée par marqueurs,Centre,Variété de Triticale adaptée pour climat méditerranéen,Double usage,Excellente,Conventionnel,Standard,2 ans,Sélection récurrente,3%
58,Seigle-5188,SE956,Seigle,Synthétique,Tolérance sécheresse,États-Unis,1604275200000,En test,Florimond Desprez,"
        Essai 58 :
        - Rendement moyen: 64.1 q/ha
        - Taux de germination: 92.0%
        - Résistance maladie: Moyenne
        - Test en conditions réelles: Positif
        ",1732294828571,1.67,Doré,1591056000000,14.21,80.43,5.46,34.16,144,Semi-protégé,3,2,9.8,298,NPK,Pois,0.9500000000000001,Élevée,13.68,Modéré,Hybridation classique,Est,Variété de Seigle adaptée pour climat méditerranéen,Alimentation humaine,Bonne,Conventionnel,Certifiée,5 ans,Rétrocroisement,3%
59,Avoine-9178,AV592,Avoine,Hybride F1,Adaptation climat,États-Unis,1596499200000,Commercialisé,Syngenta,"
        Essai 59 :
        - Rendement moyen: 75.4 q/ha
        - Taux de germination: 85.5%
        - Résistance maladie: Moyenne
        - Test en conditions réelles: À confirmer
        ",1732294828571,1.45,Brun,1594339200000,10.72,110.19,4.74,26.96,150,Semi-protégé,1,4,11.9,213,Azote organique,Vesce,0.89,Élevée,12.66,Modéré,Hybridation classique,Centre,Variété de Avoine adaptée pour climat océanique,Alimentation animale,Excellente,Conventionnel,Certifiée,2 ans,Sélection généalogique,2%
61,Seigle-6313,SE914,Seigle,Hybride F1,Résistance maladies++,Pays-Bas,1583020800000,En développement,Limagrain,"
        Essai 61 :
        - Rendement moyen: 76.7 q/ha
        - Taux de germination: 96.1%
        - Résistance maladie: Excellente
        - Test en conditions réelles: En cours
        ",1732294828571,1.5,Blanc,1594598400000,14.57,106.98,6.07,33.65,140,Semi-protégé,2,5,13.4,304,Azote organique,Vesce,1.15,Faible,12.9,Modéré,Culture in vitro,Sud,Variété de Seigle adaptée pour climat continental,Double usage,Bonne,Conventionnel,Premium,2 ans,Sélection généalogique,5%
62,Blé tendre-9192,BL591,Blé tendre,Lignée pure,Tolérance sécheresse,Espagne,1586304000000,En développement,Syngenta,"
        Essai 62 :
        - Rendement moyen: 60.3 q/ha
        - Taux de germination: 91.2%
        - Résistance maladie: Bonne
        - Test en conditions réelles: À confirmer
        ",1732294828571,1.98,Roux,1591660800000,15.33,108.95,6.68,33.2,148,Serre,4,3,13.1,358,Ammonitrate,Vesce,1.17,Moyenne,12.55,Élevé,Sélection assistée par marqueurs,Nord,Variété de Blé tendre adaptée pour climat océanique,Alimentation animale,Bonne,Conservation,Elite,4 ans,Rétrocroisement,4%
